330,-1579,60,-294,960,116,-1027,-266
586,-852,158,340,523,-40,-615,-47
379,-1347,221,-133,881,199,-1049,-82
626,-834,183,390,470,-112,-466,-67
765,-769,231,247,445,-152,-498,117
534,326,-180,-227,-404,-543,515,310
651,111,-388,-469,-175,-409,325,457
609,82,-312,-533,-187,-423,182,449
377,-1448,301,-236,765,-56,-908,-243
636,34,-297,-363,-204,-445,371,387
194,-1543,99,-39,945,200,-1000,-391
636,299,-55,-346,-462,-654,491,399
584,-107,-402,-531,-141,-482,291,287
301,-1314,144,-116,891,219,-1033,-161
777,-804,157,99,465,-197,-516,108
837,-1110,-70,-160,605,-280,-478,11
801,-822,135,66,386,-372,-290,-1
440,-1237,470,-109,628,-97,-803,-130
553,503,-105,-64,-392,-359,413,492
516,121,-335,-295,-119,-223,122,434
322,-1465,221,-110,864,114,-973,-244
563,247,-338,-192,-203,-290,365,429
306,-1379,373,-30,715,-23,-845,-306
763,-1252,-98,-113,655,-262,-503,-115
296,38,-398,-114,-99,-187,157,147
949,-750,419,108,297,-390,-373,232
804,-1036,274,126,516,-192,-625,95
256,-1483,351,81,848,179,-1029,-282
340,-1414,489,-91,721,-3,-1018,-208
192,-1158,356,244,757,248,-947,-239
570,230,-115,-176,-303,-386,309,435
733,-891,146,21,461,-269,-533,11
571,395,-28,-151,-409,-441,358,470
562,72,-230,-478,-304,-586,342,292
523,-68,-422,-458,-115,-395,235,276
591,-1141,-167,86,689,-94,-550,-206
694,-874,103,66,404,-365,-348,-121
117,-1456,106,99,942,290,-1020,-413
539,-1029,-18,258,593,-97,-525,-225
183,-1584,104,-70,965,211,-1063,-393
1006,-822,166,-59,445,-312,-390,285
597,177,-188,-363,-355,-582,453,335
258,143,-326,1,-159,-174,184,141
557,79,-94,-383,-314,-523,231,353
450,59,-47,-237,-266,-382,79,319
148,-1622,116,-73,1058,367,-1308,-315
601,232,61,-110,-369,-422,283,478
601,-702,217,484,379,-162,-332,-106
71,-1609,103,64,1008,320,-1146,-471
369,1,-486,-123,-24,-124,183,219
604,276,-308,-300,-250,-374,374,462
814,-868,254,87,383,-353,-401,46
258,-1638,177,-216,971,178,-1190,-289
835,-832,305,231,340,-363,-273,36
526,331,-218,-157,-306,-365,382,399
259,-1595,214,-25,976,266,-1143,-263
312,-1315,228,-122,762,19,-846,-269
828,-970,168,45,423,-386,-333,-16
628,333,-244,-275,-298,-401,400,498
296,248,-309,-3,-212,-210,253,191
154,-1452,242,138,842,169,-923,-432
96,-1395,37,79,961,329,-1033,-401
613,155,-119,-430,-367,-604,361,375
978,-785,338,35,330,-404,-342,232
547,-139,-326,-506,-45,-284,-38,411
557,-66,-282,-330,-114,-314,152,374
891,-881,119,8,476,-277,-411,146
